Id,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAverage
M73000004-26157939,3,2,Single Family,1400,132979,22,0,0,17,68,Milton,899999.0,865171.0,A
M73000004-26157954,2,2,Condo,1340,21147,6,0,0,43,22,Huntsville,802900.0,850383.0,B
M73000004-26158030,3,4,Single Family,2359,213759,10,0,0,8,35,Oakville,1645000.0,953919.0,A
M73000004-26158032,4,4,Single Family,2126,28883,7,0,0,30,32,Grimsby,1895000.0,754703.0,A
M73000004-26158033,2,2,Condo,1159,104688,3,0,0,6,11,Brantford,719900.0,615780.0,A
M73000004-26158039,2,2,Condo,905,143740,33,1,1,145,63,Guelph,475609.0,640614.0,B
M73000004-26158043,3,2,Condo,1312,422324,48,1,1,380,92,London,459900.0,691690.0,B
M73000004-26158061,3,3,Single Family,1643,132485,17,0,0,18,23,Kingston,529900.0,713186.0,B
M73000004-26158062,4,2,Single Family,1200,132485,3,0,0,38,4,Kingston,599900.0,713186.0,B
M73000004-26158077,3,2,Single Family,1130,121436,13,0,2,39,57,Waterloo,649900.0,527104.0,A
M73000004-26158078,4,4,Single Family,2200,121436,8,0,0,13,31,Waterloo,1200000.0,527104.0,A
M73000004-26158080,3,2,Condo,1059,422324,13,0,0,142,37,London,399900.0,691690.0,B
M73000004-26158082,3,2,Single Family,808,7699,2,0,0,8,1,Aylmer,472977.0,698201.0,B
M73000004-26158092,3,3,Single Family,2067,186948,9,0,0,45,33,Burlington,1389000.0,1085058.0,A
M73000004-26158105,4,3,Single Family,1450,40410,3,0,0,3,1,Lakeshore,799900.0,1482944.0,B
M73000004-26158108,5,3,Single Family,3000,229660,20,0,0,8,62,Windsor,1449000.0,428016.0,A
M73000004-26158116,3,3,Single Family,2047,422324,42,0,1,294,90,London,899900.0,691690.0,A
M73000004-26158117,5,3,Multi-Family,900,422324,29,1,0,68,38,London,679900.0,691690.0,B
M73000004-26158118,5,3,Single Family,900,422324,29,1,0,68,38,London,679900.0,691690.0,B
M73000004-26158119,2,2,Condo,1130,422324,26,0,1,152,83,London,439900.0,691690.0,B
M73000004-26158120,4,3,Single Family,1091,18615,3,0,0,0,9,Tillsonburg,774900.0,680068.0,A
M73000004-26158146,4,2,Single Family,990,9254,5,0,0,26,14,Smiths Falls,584900.0,315484.0,A
M73000004-26158164,6,3,Multi-Family,2311,138479,5,0,0,17,17,Cambridge,828596.0,601135.0,A
M73000004-26158168,5,4,Single Family,2029,143740,15,0,1,48,52,Guelph,1064999.0,640614.0,A
M73000004-26158170,1,1,Condo,623,323103,0,0,0,14,19,Vaughan,589000.0,869815.0,B
M73000004-26158171,3,3,Single Family,1597,24862,1,0,0,1,13,Wasaga Beach,699900.0,619205.0,A
M73000004-26158180,5,2,Single Family,1000,17817,4,1,0,39,23,Midland,590000.0,787800.0,B
M73000004-26158181,4,4,Rental,2329,9390,0,0,0,24,69,The Blue Mountains,4500.0,1066799.0,B
M73000004-26158184,3,2,Single Family,1113,46705,9,1,0,23,12,Woodstock,574900.0,659229.0,B
M73000004-26158185,5,4,Single Family,2423,28883,4,0,0,25,28,Grimsby,1179000.0,754703.0,A
M73000004-26158193,2,1,Condo,1000,256885,10,0,0,40,13,Kitchener,419900.0,437374.0,B
M73000004-26158195,4,3,Single Family,2308,132485,0,0,0,0,0,Kingston,999000.0,713186.0,A
M73000004-26158196,3,4,Single Family,2068,132485,18,0,0,32,26,Kingston,699900.0,713186.0,B
M73000004-26158208,3,3,Condo,1475,422324,10,0,0,21,32,London,699900.0,691690.0,A
M73000004-26158209,3,3,Single Family,1508,72051,0,0,0,0,0,Sault Ste. Marie,848888.0,425953.0,A
M73000004-26158216,1,1,Rental,815,143740,4,0,0,23,16,Guelph,2500.0,640614.0,B
M73000004-26158226,3,2,Single Family,1316,422324,26,1,0,59,36,London,549900.0,691690.0,B
